EAR,MAR,TIME
0.32862323669685767,0.41231056256176607,11:44:53.907990
0.33818307097276135,0.3707701875205887,11:44:54.053579
0.3181614259511163,0.37487370837451073,11:44:54.330509
0.3351745116036232,0.36666666666666664,11:44:54.428617
0.3316282495317541,0.3707701875205887,11:44:54.532437
0.313599826811632,0.3428461095262013,11:44:54.819162
0.27506947174384044,0.41231056256176607,11:44:55.660198
0.27560052943678814,0.4128134266459608,11:44:55.760789
0.26171201506296715,0.47737148842677424,11:44:55.844218
0.2917658900404717,0.4415403750411774,11:44:55.934621
0.24726625745504865,0.4699673171197595,11:44:56.204367
0.27080227474152363,0.5066013009061856,11:44:56.292251
